Run,Glassware,Reagent,Sample Prep,Tracer,Dissolution,Hood,Chemistry,Ashing,Response
1,-1,-1,-1,-1,-1,-1,-1,-1,0
2,1,-1,-1,-1,-1,1,1,1,3.31
3,-1,1,-1,-1,1,-1,1,1,0.0373
4,1,1,-1,-1,1,1,-1,-1,0
-5,-1,-1,1,-1,1,1,1,-1,0.0649
6,1,-1,1,-1,1,-1,-1,1,0.133
7,-1,1,1,-1,-1,1,-1,1,0.0461
8,1,1,1,-1,-1,-1,1,-1,0.0297
9,-1,-1,-1,1,1,1,-1,1,0
10,1,-1,-1,1,1,-1,1,-1,0.287
11,-1,1,-1,1,-1,1,1,-1,0.133
12,1,1,-1,1,-1,-1,-1,1,0.0476
13,-1,-1,1,1,-1,-1,1,1,0.133
14,1,-1,1,1,-1,1,-1,-1,5.75
15,-1,1,1,1,1,-1,-1,-1,0.0153
16,1,1,1,1,1,1,1,1,2.47
